Quelle est la capitale de la France ?,paris
Dans quel pays se trouve la ville de Berlin ?,allemagne
Quel est le plus grand désert du monde ?,sahara
Quelle mer sépare le Royaume-Uni de la France ?,la manche
Quel est le plus grand océan du monde ?,pacifique
Quelle est la date du premier pas de l'homme sur la lune ? (année),1969
Quel océan Christophe Colomb a-t-il traversé pour aller en Amérique ?,atlantique
"Quand l'école est-elle devenue gratuite, laïque et obligatoire en primaire? (année)",1882
Quelles sont les dates de la première guerre mondiale? (année-année),1914-1918
En quelle année l'euro est-elle devenue la monnaie unique de l'Europe? (année),2002
